topology,p_replicas,d_replicas,rr,il,ol,completed,duration_s,request_throughput,output_throughput_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2e_latency_ms,p99_e2e_latency_ms
1P4D,1,4,1,4096,4096,200,382.6467606315063,0.5226752728023288,2130.1761411877114,39648.05369313939,114458.4516756224,23.943249855459197,25.57739086956016,137695.6618512448,189619.69547172924
1P4D,1,4,1,8192,1024,200,212.43104984150594,0.9414819544940314,959.2618412046511,598.4720278355621,1854.9245478884686,31.95429090402138,46.6104896389874,33287.71162264944,48087.66825593794
1P4D,1,4,1,8192,4096,200,702.3968636343706,0.2847393124239647,1160.4621862666788,148582.66392463451,410818.6552385818,30.692990180448447,44.78583888409101,274270.4587135709,520191.14413784834
1P4D,1,4,1,16384,1024,200,557.9211076311218,0.35847362156484874,365.2433959081009,145801.9131723785,333403.42915242864,58.34571976535315,83.77430311289842,205489.58449233478,373146.1177257363
1P4D,1,4,1,16384,4096,200,2039.9922434307207,0.09803958845630391,399.562793743378,812215.464491645,1691353.9430468332,56.205783914009565,65.25227803431365,1042378.149619514,1858533.0346457066
1P4D,1,4,8,1024,1024,200,67.81673446855083,2.9491246012847685,3004.8188193800315,10694.432563018536,30077.966632576554,16.325717744026633,17.503663511652473,27395.641815157785,42813.3513235787
1P4D,1,4,8,1024,4096,200,280.4553460366278,0.71312600321721,2906.36285426182,73018.85498799104,200346.52626220815,17.716320475229907,18.6435339222244,145567.18733405753,255451.96289165568
1P4D,1,4,8,4096,1024,200,195.74507978642205,1.0217370480944936,1041.032552247758,58292.27923748642,155010.91950147672,50.298781619717374,57.74525419271561,109747.9328344573,171374.1613350795
1P4D,1,4,8,4096,4096,200,803.2960342441237,0.24897421557445346,1014.7006399290744,258357.58641245865,710083.6710834983,56.45373924743468,59.63369290383543,489535.6486307036,778925.1157927812
1P4D,1,4,8,8192,1024,200,326.1405720539073,0.6132325050528895,624.8134009108134,115021.90748683202,264888.8915887094,75.14508432517336,91.01193754067361,191895.3287514844,303381.8583500546
